DocLabel,Speaker Label,Displayed Speaker Name,Full Speaker Name,First Turn,RangeFrom,RangeTo,Notes,,,,
ls022-0,C,,,,,,,,,,
ls022-1,A,Daniel,,,,,,,,,
ls022-1,B,,,,,,,,,,
ls022-1,C,,,,,,,,,,
ls022-2,A,Daniel,,,,,,,,,
ls022-2,B,,,,,,,,,,
ls022-2,C,,,,,,,,,,
ls023-0,A,Daniel,,,,,,,,,
ls023-0,B,,,,,,,,,,
ls023-0,C,,,,,,,,,,
ls023-1,A,Daniel,,,,,,,,,
ls023-1,B,,,,,,,,,,
ls023-1,C,,,,,,,,,,
ls023-2,A,Daniel,,,,,,,,,
ls023-2,B,,,,,,,,,,
ls023-2,C,,,,,,,,,,
ls024-0,A,Daniel,,,,,,,,,
ls024-0,B,,,,,,,,,,
ls024-0,C,,,,,,,,,,
ls024-1,A,Daniel,,,,,,,,,
ls024-1,B,,,,,,,,,,
ls024-1,C,,,,,,,,,,
ls024-2,A,Daniel,,,,,,,,,
ls024-2,B,,,,,,,,,,
ls024-2,C,,,,,,,,,,
ls025-0,A,Daniel,,,,,,,,,
ls025-0,B,,,,,,,,,,
ls025-0,C,,,,,,,,,,
ls025-1,A,Daniel,,,,,,,,,
ls025-1,B,,,,,,,,,,
ls025-1,C,,,,,,,,,,
ls025-2,A,Daniel,,,,,,,,,
ls025-2,B,,,,,,,,,,
ls025-2,C,,,,,,,,,,
ls026-0,A,Daniel,,,,,,,,,
ls026-0,B,,,,,,,,,,
ls026-0,C,,,,,,,,,,
ls026-1,A,Daniel,,,,,,,,,
ls026-1,B,,,,,,,,,,
ls026-1,C,,,,,,,,,,
ls026-2,A,Daniel,,,,,,,,,
ls026-2,B,,,,,,,,,,
ls026-2,C,,,,,,,,,,
ls027-0,A,Daniel,,,,,,,,,
ls027-0,B,,,,,,,,,,
ls027-0,C,,,,,,,,,,
ls027-1,A,Daniel,,,,,,,,,
ls027-1,B,,,,,,,,,,
ls027-1,C,,,,,,,,,,
ls027-2,A,Daniel,,,,,,,,,
ls027-2,B,,,,,,,,,,
ls027-2,C,,,,,,,,,,
ls028-0,A,Daniel,,,,,,,,,
ls028-0,B,,,,,,,,,,
ls028-0,C,,,,,,,,,,
ls028-1,A,Daniel,,,,,,,,,
ls028-1,B,,,,,,,,,,
ls028-1,C,,,,,,,,,,
ls028-2,A,Daniel,,,,,,,,,
ls028-2,B,,,,,,,,,,
ls028-2,C,,,,,,,,,,
ls029-0,A,Daniel,,,,,,,,,
ls029-0,B,,,,,,,,,,
ls029-0,C,,,,,,,,,,
ls029-1,A,Daniel,,,,,,,,,
ls029-1,B,,,,,,,,,,
ls029-1,C,,,,,,,,,,
ls029-2,A,Daniel,,,,,,,,,
ls029-2,B,,,,,,,,,,
ls029-2,C,,,,,,,,,,
ls030-0,A,Daniel,,,,,,,,,
ls030-0,B,,,,,,,,,,
ls030-0,C,,,,,,,,,,
ls030-1,A,Daniel,,,,,,,,,
ls030-1,B,,,,,,,,,,
ls030-1,C,,,,,,,,,,
ls030-2,A,Daniel,,,,,,,,,
ls030-2,B,,,,,,,,,,
ls030-2,C,,,,,,,,,,
ls031-0,A,Daniel,,,,,,,,,
ls031-0,B,,,,,,,,,,
ls031-0,C,,,,,,,,,,
ls031-1,A,Daniel,,,,,,,,,
ls031-1,B,,,,,,,,,,
ls031-1,C,,,,,,,,,,
ls031-2,A,Daniel,,,,,,,,,
ls031-2,B,,,,,,,,,,
ls031-2,C,,,,,,,,,,
ls032-0,A,Daniel,,,,,,,,,
ls032-1,A,Daniel,,,,,,,,,
ls032-1,B,,,,,,,,,,
