Series,Unique Event Name,Date,YouTube,Title or Name of Stream,Transcript,Github,Slides,Guests,Participants,Paper Link
Livestream,Livestream #052.0,3/1/2023,https://www.youtube.com/watch?v=LPj_ok8Pxxw,"Geometric Methods for Sampling, Optimisation, Inference and Adaptive Agents",,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_052,https://docs.google.com/presentation/d/1FxhQzU8AOWB8LTYcmGv6hkXEl0k2WEAeXP83BccaC64/edit#slide=id.g211813dd47e_1_133,,Daniel Friedman,"Geometric Methods for Sampling, Optimisation, Inference and Adaptive Agents"
Livestream,Livestream #051.2,11/9/2022,https://youtu.be/hY_CajLpt9Q,Canonical neural networks perform active inference,https://zenodo.org/record/7400536,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_051,https://docs.google.com/presentation/d/1m8NZvPp_Jm9qVRn47DaluGHLTH5WyGt_IKqzemgULI4/edit,Takuya Isomura,Daniel Friedman,Canonical neural networks perform active inference
Livestream,Livestream #050.2,11/3/2022,https://youtu.be/4o-LmkycAC0,"Interoception as modeling, allostasis as control",https://zenodo.org/record/7400709,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_050,https://docs.google.com/presentation/d/1cMODFjlwMcSsVNHnz3b8ZT9Erv26VF2ABUgNDZUerKk/edit#slide=id.gc77d90b7ef_1_17,"Eli Sennesh,Jordan Theriault","Dean Tickles,Daniel Friedman,Ian Tennant","Interoception as modeling, allostasis as control"
Livestream,Livestream #051.1,11/2/2022,https://youtu.be/IM_NlUzyq8M,Canonical neural networks perform active inference,https://zenodo.org/record/7400536,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_051,https://docs.google.com/presentation/d/1m8NZvPp_Jm9qVRn47DaluGHLTH5WyGt_IKqzemgULI4/edit,Takuya Isomura,Daniel Friedman,Canonical neural networks perform active inference
Livestream,Livestream #051.0,10/26/2022,https://youtu.be/ZASG-rtkXDk,Canonical neural networks perform active inference,https://zenodo.org/record/7400536,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_051,https://docs.google.com/presentation/d/1yTx7ycmoGW0yXnGQy5fpLAfoI2pYo9zLPUUNlj2fKx8/edit?usp=sharing,,Daniel Friedman,Canonical neural networks perform active inference
Livestream,Livestream #050.1,10/20/2022,https://youtu.be/tGd-mgSdbio,"Interoception as modeling, allostasis as control",https://zenodo.org/record/7400709,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_050,https://docs.google.com/presentation/d/1cMODFjlwMcSsVNHnz3b8ZT9Erv26VF2ABUgNDZUerKk/edit#slide=id.gc77d90b7ef_1_17,"Eli Sennesh,Jordan Theriault","Dean Tickles,Daniel Friedman","Interoception as modeling, allostasis as control"
Livestream,Livestream #050.0,10/17/2022,https://youtu.be/l7r0ISlr-Hc,"Interoception as modeling, allostasis as control",https://zenodo.org/record/7400709,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_050,https://docs.google.com/presentation/d/17hQSVy1_F61KFOvZlMSUevoO_SsbPHOmFewcyk2Malc/edit#slide=id.gc77d90b7ef_1_17,,"Daniel Friedman,Dean Tickles","Interoception as modeling, allostasis as control"
Livestream,Livestream #049.2,10/12/2022,https://youtu.be/2SuBJBEg9LI,A Worked Example of the Bayesian Mechanics of Classical Objects,https://zenodo.org/record/7400786,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_049,https://docs.google.com/presentation/d/1C_ghcJ_TlhAUEEkGnyc5KefSFXyDw5j5Qbp6-N6hkhY/edit?usp=sharing,Dalton Sakthivadivel,"Jakub Smékal,Ali Rahmjoo,Daniel Friedman",A Worked Example of the Bayesian Mechanics of Classical Objects
Livestream,Livestream #049.1,10/5/2022,https://youtu.be/dAtC-Enmc8M,A Worked Example of the Bayesian Mechanics of Classical Objects,https://zenodo.org/record/7400786,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_049,https://docs.google.com/presentation/d/1C_ghcJ_TlhAUEEkGnyc5KefSFXyDw5j5Qbp6-N6hkhY/edit?usp=sharing,Dalton Sakthivadivel,"Jakub Smékal,Ali Rahmjoo,Daniel Friedman",A Worked Example of the Bayesian Mechanics of Classical Objects
Livestream,Livestream #049.0,9/30/2022,https://youtu.be/OtX2Fpzn7KA,A Worked Example of the Bayesian Mechanics of Classical Objects,https://zenodo.org/record/7400786,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_049,https://docs.google.com/presentation/d/1Q0WrFgj5OyxHUkr8noxPwlwvvzxwY_DAjDU2Fpd5Cno/edit?usp=sharing,,"Jakub Smékal,Ali Rahmjoo",A Worked Example of the Bayesian Mechanics of Classical Objects
Livestream,Livestream #048.2,9/14/2022,https://youtu.be/hIIyYu2C-SI,Communication as Socially Extended Active Inference: An Ecological Approach to Communicative Behavior,https://zenodo.org/record/7401875,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_048,https://docs.google.com/presentation/d/1yjfToWX_zspCwZZ7x363hbyGBF3t72L5jvg5tis3cLY/edit?usp=sharing,Rémi Tison,,Communication as Socially Extended Active Inference: An Ecological Approach to Communicative Behavior
Livestream,Livestream #048.1,9/7/2022,https://youtu.be/nWFM5zrdmG8,Communication as Socially Extended Active Inference: An Ecological Approach to Communicative Behavior,https://zenodo.org/record/7401875,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_048,https://docs.google.com/presentation/d/1yjfToWX_zspCwZZ7x363hbyGBF3t72L5jvg5tis3cLY/edit?usp=sharing,Rémi Tison,,Communication as Socially Extended Active Inference: An Ecological Approach to Communicative Behavior
Livestream,Livestream #048.0,9/5/2022,https://youtu.be/zqiZjjY9H7M,Communication as Socially Extended Active Inference: An Ecological Approach to Communicative Behavior,https://zenodo.org/record/7401875,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_048,https://docs.google.com/presentation/d/1E8mK-VO2JhKHNmKcCq3EqqAB_8ek8JAD-838aiDjyqA/edit?usp=sharing,,,Communication as Socially Extended Active Inference: An Ecological Approach to Communicative Behavior
